"","Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"149","ÁREA DE PROTEÇÃO AMBIENTAL DO RIO CURIAÚ","Shannon diversity",4.15925770369386,5.04541486959082,1.3113207441898,2.47527343879856,7.61555630038309
"150","ÁREA DE PROTEÇÃO AMBIENTAL DO RIO CURIAÚ","Simpson diversity",3.0421052631579,3.48717948717948,1.29209531087254,0.954719213276216,6.01963976108275
"151","AREA DE PROTEÇÃO AMBIENTAL DO RIO GUANDU","Species richness",55,91.2611398963731,28.8140253793039,55,147.735591889432
"152","AREA DE PROTEÇÃO AMBIENTAL DO RIO GUANDU","Shannon diversity",30.224914010859,39.0272339159446,4.22220140409237,30.7518712284491,47.30259660344
"153","AREA DE PROTEÇÃO AMBIENTAL DO RIO GUANDU","Simpson diversity",17.8652278177458,19.5856236786469,2.82452633249602,14.0496537935697,25.1215935637241
"154","ÁREA DE PROTEÇÃO AMBIENTAL DO RIO MADEIRA","Species richness",7,18.25,7.18083397072732,7,32.3241759615873
"155","ÁREA DE PROTEÇÃO AMBIENTAL DO RIO MADEIRA","Shannon diversity",6.26120069029541,14.6169110485491,7.99984625925369,0,30.2963215985438
"156","ÁREA DE PROTEÇÃO AMBIENTAL DO RIO MADEIRA","Simpson diversity",5.55555555555556,11.25,NA,NA,NA
"157","ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PARDO","Species richness",3,3.41666666666667,1.18426955898044,3,5.73779235025546
"158","ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PARDO","Shannon diversity",2.74945927399721,3.50242094886821,1.17882486852666,1.19196666247579,5.81287523526063
"159","ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PARDO","Simpson diversity",2.57142857142857,3.75,1.42929382889223,0.948635572045867,6.55136442795413
"160","ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO","Species richness",26,37.9593023255814,12.1426887831657,26,61.7585350160646
"161","ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO","Shannon diversity",14.6447054549665,18.6299799566138,2.54131825432128,13.6490877048899,23.6108722083377
"162","ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO","Simpson diversity",7.9186295503212,8.62028301886794,1.8622094603898,4.97041954483416,12.2701464929017
"163","ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS","Species richness",10,13.921568627451,6.42100186940125,10,26.5065010361418
"164","ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS","Shannon diversity",9.032486135077,14.1266271707549,3.36880011070206,7.52390028266429,20.7293540588455
"165","ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS","Simpson diversity",8.25714285714286,15.1111111111111,3.31715571354055,8.60960538146035,21.6126168407618
