"","Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"858","PARQUE NACIONAL DE ANAVILHANAS","Simpson diversity",14.4341637010676,15.8039215686275,2.6356021907599,10.6382361971632,20.9696069400917
"859","PARQUE NACIONAL DE BOA NOVA","Species richness",35,41.6962676962677,10.3302097562673,35,61.9431067712959
"860","PARQUE NACIONAL DE BOA NOVA","Shannon diversity",8.8183923259286,9.63962288540642,1.06178856268679,7.55855554334377,11.7206902274691
"861","PARQUE NACIONAL DE BOA NOVA","Simpson diversity",3.45511202678342,3.48830653581123,0.402649216652582,2.6991285727689,4.27748449885356
"862","PARQUE NACIONAL DE BRASÍLIA","Species richness",72,104.100396301189,16.7725869194925,72,136.974062590962
"863","PARQUE NACIONAL DE BRASÍLIA","Shannon diversity",19.8864894599362,21.4560599813947,1.07320801325896,19.3526109274873,23.559509035302
"864","PARQUE NACIONAL DE BRASÍLIA","Simpson diversity",12.3361031580307,12.5238970588236,0.561682931157677,11.4230187430236,13.6247753746235
"865","PARQUE NACIONAL DE ILHA GRANDE","Species richness",37,45.9508196721311,6.21261388494358,37,58.127319136474
"866","PARQUE NACIONAL DE ILHA GRANDE","Shannon diversity",19.1411238623013,21.9893752854464,1.82899974614046,18.4046016552782,25.5741489156146
"867","PARQUE NACIONAL DE ILHA GRANDE","Simpson diversity",12.1029996385978,12.8893188854489,1.28926889200695,10.3623982907274,15.4162394801704
"868","PARQUE NACIONAL DE SAINT-HILAIRE/LANGE","Species richness",26,46.8253968253968,15.0216265045609,26,76.2672437635485
"869","PARQUE NACIONAL DE SAINT-HILAIRE/LANGE","Shannon diversity",22.479659906896,41.2326718805374,7.80478552410934,25.9355733462235,56.5297704148513
"870","PARQUE NACIONAL DE SAINT-HILAIRE/LANGE","Simpson diversity",19.1739130434783,34.44,7.01180715651731,20.6971105066858,48.1828894933141
"871","PARQUE NACIONAL DE SETE CIDADES","Species richness",11,18.8461538461538,7.73589404209164,11,34.0082275568714
"872","PARQUE NACIONAL DE SETE CIDADES","Shannon diversity",7.09949073900738,8.4566740824236,1.50097684196827,5.51481353053712,11.3985346343101
"873","PARQUE NACIONAL DE SETE CIDADES","Simpson diversity",5.18007662835249,5.64255319148936,1.01328484940042,3.65655138058444,7.62855500239428
"874","PARQUE NACIONAL DO ALTO CARIRI","Species richness",4,4.90909090909091,1.16180375376709,4,7.18618442357785
"875","PARQUE NACIONAL DO ALTO CARIRI","Shannon diversity",3.06776840287102,3.80476264611283,0.846564275591404,2.14552715535544,5.46399813687022
"876","PARQUE NACIONAL DO ALTO CARIRI","Simpson diversity",2.57446808510638,3.05555555555555,0.837761345470083,1.41357349079437,4.69753762031673
"877","PARQUE NACIONAL DO ARAGUAIA","Species richness",8,8.9945652173913,1.49812315122627,8,11.9308326382004
"878","PARQUE NACIONAL DO ARAGUAIA","Shannon diversity",2.68864037493956,2.75438584424037,0.226145543543715,2.31114872363045,3.19762296485028
"879","PARQUE NACIONAL DO ARAGUAIA","Simpson diversity",1.79531233428784,1.80314876298597,0.134199822749793,1.54012194366471,2.06617558230722
"880","PARQUE NACIONAL DO BOQUEIRÃO DA ONÇA","Species richness",10,29.95,12.0408677709042,10,53.5496671735813
"881","PARQUE NACIONAL DO BOQUEIRÃO DA ONÇA","Shannon diversity",7.58537062153123,14.5665397427211,5.41297601218348,3.95730170966227,25.17577777578
"882","PARQUE NACIONAL DO BOQUEIRÃO DA ONÇA","Simpson diversity",6.06060606060606,8.2608695652174,2.9350074561711,2.50836065676553,14.0133784736693
"883","PARQUE NACIONAL DO CATIMBAU","Species richness",33,55.34375,17.295784753899,33,89.2428652019989
"884","PARQUE NACIONAL DO CATIMBAU","Shannon diversity",16.2080754426456,19.8488922192943,2.17622582510342,15.5835679798656,24.1142164587229
"885","PARQUE NACIONAL DO CATIMBAU","Simpson diversity",9.30700179533214,9.88099808061419,1.48879161255698,6.96302013951721,12.7989760217112
"886","PARQUE NACIONAL DO IGUAÇU","Species richness",72,96.2657746478873,13.5966807979237,72,122.914779321105
"887","PARQUE NACIONAL DO IGUAÇU","Shannon diversity",16.2021761184516,17.4734129696865,1.10069977252748,15.3160810577412,19.6307448816318
"888","PARQUE NACIONAL DO IGUAÇU","Simpson diversity",8.38294475671,8.47115643511041,0.423664997313794,7.64078829886512,9.30152457135571
"889","PARQUE NACIONAL DO ITATIAIA","Species richness",89,105.933051206094,10.0608898259732,89,125.652032917427
"890","PARQUE NACIONAL DO ITATIAIA","Shannon diversity",8.18632903143517,8.41878686648375,0.394723802965171,7.64514242883133,9.19243130413617
"891","PARQUE NACIONAL DO ITATIAIA","Simpson diversity",3.18375628643975,3.18709594133291,0.10601110652264,2.9793179905873,3.39487389207853
"892","PARQUE NACIONAL DO JURUENA","Species richness",6,10.1538461538462,3.69982109164951,6,17.4053622427209
"893","PARQUE NACIONAL DO JURUENA","Shannon diversity",4.88305395807595,7.20410011854226,2.08244334200163,3.12258616837384,11.2856140687107
"894","PARQUE NACIONAL DO JURUENA","Simpson diversity",4.12195121951219,5.57142857142857,1.8146026425369,2.01487274580502,9.12798439705211
"895","PARQUE NACIONAL DO PANTANAL MATOGROSSENSE","Species richness",31,39.3037825059102,13.9177816784576,31,66.5821333403784
"896","PARQUE NACIONAL DO PANTANAL MATOGROSSENSE","Shannon diversity",11.2197722238299,12.1067311906145,0.974657882844694,10.1964368429909,14.0170255382382
"897","PARQUE NACIONAL DO PANTANAL MATOGROSSENSE","Simpson diversity",6.22448340638697,6.34240435408996,0.597413569753292,5.171495273498,7.51331343468192
"898","PARQUE NACIONAL DO PICO DA NEBLINA","Species richness",10,12.96875,5.75466879767721,10,24.2476935864037
"899","PARQUE NACIONAL DO PICO DA NEBLINA","Shannon diversity",7.67067678296114,10.956483828817,2.29800530137131,6.45247620184711,15.4604914557869
"900","PARQUE NACIONAL DO PICO DA NEBLINA","Simpson diversity",5.71428571428571,7.60000000000001,2.35489277467123,2.98449497419079,12.2155050258092
"901","PARQUE NACIONAL DOS CAMPOS GERAIS","Species richness",12,50.7391304347826,19.2314297811181,13.0462206925802,88.432040176985
"902","PARQUE NACIONAL DOS CAMPOS GERAIS","Shannon diversity",8.44107117798902,19.1754310785168,7.69452968141908,4.09443002496096,34.2564321320726
"903","PARQUE NACIONAL DOS CAMPOS GERAIS","Simpson diversity",6.08045977011494,7.90625,3.14886921405025,1.73457974843457,14.0779202515654
"904","PARQUE NACIONAL GRANDE SERTÃO VEREDAS","Species richness",9,14.8421052631579,4.4573638317642,9,23.5783778394072
"905","PARQUE NACIONAL GRANDE SERTÃO VEREDAS","Shannon diversity",6.53854423212793,7.95310287230105,1.34754135238609,5.31197035394591,10.5942353906562
"906","PARQUE NACIONAL GRANDE SERTÃO VEREDAS","Simpson diversity",5.5968992248062,6.39090909090909,0.948915352730016,4.53106917518114,8.25074900663704
"907","PARQUE NACIONAL GUARICANA","Species richness",12,23.9893617021277,14.6880937559607,12,52.7774964653582
"908","PARQUE NACIONAL GUARICANA","Shannon diversity",5.7640813156796,7.45147451786192,1.77254657515222,3.97734706964375,10.9256019660801
"909","PARQUE NACIONAL GUARICANA","Simpson diversity",3.72512647554806,3.95970695970696,0.76474498534469,2.46083433107376,5.45857958834016
