ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de Criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;% Além da linha de costa;Grupo;PI;US;Recortes (ha);Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;Código WDPA
1.074;0000.00.1074;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ECOWORLD;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;1999;1999;Portaria 64 de 19/07/1999;Sem informação.;ATIBAIA (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;51;51;51;;0;0;0;51;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682630
1.075;0000.00.1075;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CARBOCLORO S/A;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;1992;1993;Portaria 145/92-N de 30/12/1992;Sem informação.;CUBATÃO (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;1;1;1;;0;0;0;1;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555682702
1.076;0000.00.1076;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PRIMAVERA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;2000;2000;Portaria 37 de 20/06/2000;Sem informação.;SÃO LUIZ DO PARAITINGA (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;19;19;19;;0;0;0;19;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682633
1.077;0000.00.1077;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FONTE DA BICA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SE;1999;1999;Portaria 70 de 13/09/1999;Sem informação.;AREIA BRANCA (SE);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;13;13;13;;0;0;0;13;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682766
1.078;0000.00.1078;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIO DAS FURNAS;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2002;2002;Portaria 61 de 18/04/2002;Sem informação.;ALFREDO WAGNER (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;10;10;10;;0;0;0;10;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555600158
1.082;0000.00.1082;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NORMANDO TEDESCO;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1999;1999;Portaria 57-N/1999 de 09/07/1999;Sem informação.;BALNEÁRIO CAMBORIÚ (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;4;4;4;;0;0;0;4;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555682858
1.083;0000.00.1083;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PALMITAL;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1992;1992;Portaria 70 de 25/06/1992;Sem informação.;ITAPOÁ (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;591;591;591;;0;0;0;591;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555682494
1.084;0000.00.1084;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL MENINO DEUS;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1999;1999;Portaria 85 de 06/10/1999;Sem informação.;FLORIANÓPOLIS (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;16;16;16;;0;0;0;16;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555682493
1.085;0000.00.1085;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PRIMA LUNA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2001;2001;Portaria 100 de 03/09/2001;Sem informação.;NOVA TRENTO (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;100;100;100;;0;0;0;100;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555600042
1.086;0000.00.1086;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE ECOLÓGICO ARTEX;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1992;1993;Portaria 143-N de 30/12/1992;Sem informação.;BLUMENAU (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;5.296;5.296;5.296;;0;0;0;5.296;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682813
1.088;0000.00.1088;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ARAUCÁRIA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2000;2000;Portaria 41 de 09/08/2000;Sem informação.;SÃO JOAQUIM (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;50;50;50;;0;0;0;50;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682490
1.089;0000.00.1089;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA POUSADA SERRA PITOCO;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1997;1997;Portaria 40 de 30/04/1997;Sem informação.;ITUPORANGA (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;3;3;3;;0;0;0;3;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682496
1.091;0000.00.1091;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CHÁCARA EDITH;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2001;2001;Portaria 158 de 24/10/2001;Sem informação.;BRUSQUE (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;416;416;416;;0;0;0;416;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555600175
1.092;0000.00.1092;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BIO ESTAÇÃO ÁGUAS CRISTALINAS;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2002;2002;Portaria 19 de 05/02/2002;Sem informação.;BRUSQUE (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;103;103;103;;0;0;0;103;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682485
1.093;0000.00.1093;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BARRA DO RIO DO MEIO;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1999;1999;Portaria 23 de 23/02/1999;Sem informação.;SANTA ROSA DE LIMA (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;10;10;10;;0;0;0;10;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682492
1.094;0000.00.1094;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORRO DA PALHA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2002;2002;Portaria 62 de 18/04/2002;Sem informação.;SÃO FRANCISCO DO SUL (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;7;7;7;;0;0;0;7;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555682486
1.096;0000.00.1096;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ANO BOM;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2001;2001;Portaria 167 de 14/11/2001;Sem informação.;SÃO BENTO DO SUL (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;87;87;88;;0;0;0;87;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682489
1.097;0000.00.1097;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAETEZAL;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2001;2001;Portaria 168 de 14/11/2001;Sem informação.;JOINVILLE (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;4.582;4.582;4.614;;0;0;0;4.582;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555682487
1.098;0000.00.1098;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA BUGERKOPF;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1992;1993;Portaria 148 de 30/12/1992;Sem informação.;BLUMENAU (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;82;82;83;;0;0;0;82;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682495
1.099;0000.00.1099;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GRALHA AZUL;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2000;2000;Portaria 27 de 27/04/2000;Sem informação.;ÁGUA DOCE (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;49;49;49;;0;0;0;49;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682483
1.100;0000.00.1100;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DO GUAXINIM;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2001;2001;Portaria 66 de 21/05/2001;Sem informação.;SÃO JOSÉ (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;26;26;26;;0;0;0;26;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555682488
1.101;0000.00.1101;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PASSARIM;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2004;2004;Portaria 21/2004-N de 05/03/2004;Sem informação.;PAULO LOPES (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;228;228;226;;0;0;0;228;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555600146
1.106;0000.00.1106;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO DO ROBALO;Federal;Reserva Particular do Patrimônio Natural;Category IV;RS;2002;2002;Portaria 57 de 18/04/2002;Sem informação.;TORRES (RS);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;10;10;10;;0;0;0;10;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555682471
